epoch,w1_py,w2_py,b_py,w1_crn,w2_crn,b_crn
66,1.3208911199,-0.2549763538,-0.2000000000,1.3208911138,-0.2549763504,-0.1999998379
67,1.2574962726,-0.3340930720,-0.1000000000,1.2574962611,-0.3340930620,-0.0999998425
68,1.3847249832,-0.2813055040,-0.2000000000,1.3847249751,-0.2813054992,-0.1999998425
69,1.3238269575,-0.2935803831,-0.1000000000,1.3238269520,-0.2935803776,-0.0999998425
70,1.1966347182,-0.2653734138,-0.1000000000,1.1966347133,-0.2653734088,-0.0999998425
71,1.3297109584,-0.2191883758,-0.2000000000,1.3297109565,-0.2191883757,-0.1999998425
72,1.2654687081,-0.3017435744,-0.1000000000,1.2654686998,-0.3017435668,-0.0999998473
73,1.3919314334,-0.2520641204,-0.2000000000,1.3919314285,-0.2520641180,-0.1999998473
74,1.3303410177,-0.2671484883,-0.1000000000,1.3303410152,-0.2671484849,-0.0999998473
75,1.2025229128,-0.2414810744,-0.1000000000,1.2025229105,-0.2414810714,-0.0999998473
76,1.3264034916,-0.2619037487,-0.2000000000,1.3264034834,-0.2619037440,-0.1999998525
77,1.2711089484,-0.2760427330,-0.1000000000,1.2711089429,-0.2760427274,-0.0999998525
78,1.2211270608,-0.2888232549,0.0000000000,1.2211270579,-0.2888232486,0.0000001475
79,1.2797048489,-0.2010826871,-0.2000000000,1.2797048470,-0.2010826876,-0.1999998525
80,1.2202671457,-0.2853774659,-0.1000000000,1.2202671368,-0.2853774580,-0.0999998580
81,1.3510728011,-0.2372704545,-0.2000000000,1.3510727959,-0.2372704524,-0.1999998579
82,1.2847781219,-0.3180883414,-0.1000000000,1.2847781098,-0.3180883310,-0.0999998635
83,1.2334829110,-0.3268291548,0.0000000000,1.2334829022,-0.3268291439,0.0000001365
84,1.2908735589,-0.2354370104,-0.2000000000,1.2908735517,-0.2354370072,-0.1999998635
85,1.2303627750,-0.3164310531,-0.1000000000,1.2303627608,-0.3164310414,-0.0999998693
86,1.3601984503,-0.2653404378,-0.2000000000,1.3601984406,-0.2653404326,-0.1999998693
87,1.3016569144,-0.2791492277,-0.1000000000,1.3016569078,-0.2791492215,-0.0999998693
88,1.2487400026,-0.2916312801,0.0000000000,1.2487399989,-0.2916312730,0.0000001307
89,1.3046647612,-0.2036209195,-0.2000000000,1.3046647588,-0.2036209201,-0.1999998693
90,1.2428289295,-0.2876718269,-0.1000000000,1.2428289192,-0.2876718181,-0.0999998754
91,1.3714668667,-0.2393443751,-0.2000000000,1.3714668606,-0.2393443728,-0.1999998754
92,1.3118426703,-0.2556508461,-0.1000000000,1.3118426671,-0.2556508424,-0.0999998754
93,1.2579471192,-0.2703906042,0.0000000000,1.2579471187,-0.2703905993,0.0000001246
94,1.3129872654,-0.1844210308,-0.2000000000,1.3129872659,-0.1844210338,-0.1999998754
95,1.2503518142,-0.2703166482,-0.1000000000,1.2503518060,-0.2703166410,-0.0999998819
96,1.3782669586,-0.2236566682,-0.2000000000,1.3782669546,-0.2236566676,-0.1999998819
97,1.3179894148,-0.2414704015,-0.1000000000,1.3179894137,-0.2414703993,-0.0999998819
98,1.2635032893,-0.2575726055,0.0000000000,1.2635032909,-0.2575726019,0.0000001181
99,1.3180096031,-0.1728345752,-0.2000000000,1.3180096055,-0.1728345797,-0.1999998819
100,1.2548916097,-0.2598434100,-0.1000000000,1.2548916028,-0.2598434037,-0.0999998887
